Id,SalePrice
1461,122906.80548145511
1462,150261.03146899265
1463,176769.20050121372
1464,185179.6118542574
1465,192708.59777036792
1466,184613.4812658928
1467,159594.9026617986
1468,174593.96981946722
1469,183430.77454182645
1470,127533.25944328828
1471,192159.1602630447
1472,92133.4511593416
1473,94075.65467666366
1474,157662.80058220873
1475,153251.90145683734
1476,358002.00770033145
1477,252128.8736753292
1478,304789.1333941234
1479,244637.41131095355
1480,488780.5665439895
1481,303528.61505594087
1482,204902.76742797263
1483,173557.76933544362
1484,180177.59961731374
1485,174693.56623740745
1486,196145.70287050022
1487,311074.6239815075
1488,232635.82465411516
1489,211670.09751811213
1490,192726.26522500257
1491,192872.95713335645
1492,99571.51895815194
1493,173878.2927858022
1494,284907.78903841495
1495,287140.8946772675
1496,235807.2026274556
1497,188829.1547387907
1498,155591.19956372125
1499,151839.93952785517
1500,146022.832480104
1501,176338.6515979506
1502,165132.07115687727
1503,292176.9344866476
1504,229962.37239682185
1505,212325.51553016785
1506,172141.5267481639
1507,216409.90890666368
1508,194479.44821047698
1509,160449.06559211633
1510,147066.83804013368
1511,147169.19165133298
1512,159322.41167204452
1513,154314.9952449142
1514,162478.77027701138
1515,175326.28142215393
1516,156661.18626260856
1517,146558.1009688113
1518,133478.56675189117
1519,222135.0464186569
1520,137335.94884188328
1521,144234.30723383918
1522,164325.7459237977
1523,118674.65770214653
1524,119526.62248893068
1525,117845.18041838378
1526,125194.49560133566
1527,100877.77821709252
1528,128868.038323989
1529,138910.19509077357
1530,170031.1668206685
1531,121072.8125589394
1532,110064.17647027312
1533,141627.21213447108
1534,114388.78965031909
1535,149412.95355716624
1536,113124.66484257604
1537,76873.34054098996
1538,169837.37634517695
1539,203611.5224028178
1540,108295.8305514367
1541,151265.97625384945
1542,142452.9465273967
1543,211361.87957277318
1544,77914.54290458324
1545,95661.13095349641
1546,119043.92617324243
1547,134676.0924409133
1548,132106.1219537825
1549,108791.57747611639
1550,144469.63372681217
1551,115906.34426754317
1552,138284.63421468472
1553,133128.4283900016
1554,113285.33941799685
1555,169291.3770754241
1556,93193.75765975626
1557,122758.33352598475
1558,85383.8867860655
1559,101014.41589262182
1560,148656.03860766915
1561,133756.60118372497
1562,123945.33006467254
1563,122023.14543962358
1564,160719.55668694887
1565,157737.69329876243
1566,201075.44308238488
1567,76267.32419337239
1568,218035.37628285092
1569,134900.38622392592
1570,122833.29273748548
1571,127550.86849712303
1572,145607.4773570691
1573,243327.99334829318
1574,112248.96208446185
1575,208963.04741762302
1576,207428.55130784554
1577,207967.5113147423
1578,159040.7623661239
1579,144314.37446438812
1580,190453.3743412057
1581,137594.62953159813
